source,entity_type,entity_value,context,provenance
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20500,[NAME] 1 Buyer Only.,Zenodo DarkForums Safe Corpus
DARKWEB,title,[NAME] 1 Buyer Only.,Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20501,[NAME] 1 Buyer Only.,Zenodo DarkForums Safe Corpus
DARKWEB,title,[NAME] 1 Buyer Only.,Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,20768,DATA FROM SATUDATA CITY OF DEPOK,Zenodo DarkForums Safe Corpus
DARKWEB,title,DATA FROM SATUDATA CITY OF DEPOK,Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,1176,Ferrari Data Leaked by RansomEXX - Free Download,Zenodo DarkForums Safe Corpus
DARKWEB,title,Ferrari Data Leaked by RansomEXX - Free Download,Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,1142,vines-indonesia.com,Zenodo DarkForums Safe Corpus
DARKWEB,title,vines-indonesia.com,Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,1141,[ADDRESS] [BlankMediaGames] (partially cracked) leaked July [AUTHOR] - Free Download,Zenodo DarkForums Safe Corpus
DARKWEB,title,[ADDRESS] [BlankMediaGames] (partially cracked) leaked July [AUTHOR] - Free Download,Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,1118,"Shanghai Citizenship Database [3,231,610]",Zenodo DarkForums Safe Corpus
DARKWEB,title,"Shanghai Citizenship Database [3,231,610]",Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,1073,Database Leaked justclean.com,Zenodo DarkForums Safe Corpus
DARKWEB,title,Database Leaked justclean.com,Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,1095,somjai.co.th,Zenodo DarkForums Safe Corpus
DARKWEB,title,somjai.co.th,Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,1070,Database lapostemobile.fr,Zenodo DarkForums Safe Corpus
DARKWEB,title,Database lapostemobile.fr,Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
DARKWEB,thread_id,1062,"Rec-INOV Database, Leaked - Download!",Zenodo DarkForums Safe Corpus
DARKWEB,title,"Rec-INOV Database, Leaked - Download!",Leaks,Zenodo DarkForums Safe Corpus
DARKWEB,category,Leaks,Databases,Zenodo DarkForums Safe Corpus
